date,time,lat,lon,speed
2016-04-02,14:42:58,31.749394,34.989632,5
2016-04-02,14:43:00,31.749413,34.989675,5
2016-04-02,14:43:02,31.749436,34.989717,5
2016-04-02,14:43:03,31.749448,34.989736,5
2016-04-02,14:43:04,31.74946,34.989755,5
2016-04-02,14:43:06,31.749479,34.989788,5
2016-04-02,14:43:08,31.749499,34.989821,5
2016-04-02,14:43:10,31.749513,34.989865,5
2016-04-02,14:43:11,31.749523,34.989884,5
2016-04-02,14:43:13,31.749544,34.989921,5
2016-04-02,14:43:14,31.749551,34.989944,5
2016-04-02,14:43:15,31.749562,34.989971,5
2016-04-02,14:43:17,31.749594,34.990024,5
2016-04-02,14:43:19,31.749619,34.990073,5
2016-04-02,14:43:21,31.749638,34.990112,5
2016-04-02,14:43:22,31.749648,34.990132,5
2016-04-02,14:43:23,31.749659,34.990151,5
2016-04-02,14:43:25,31.749675,34.990175,5
2016-04-02,14:43:26,31.749678,34.990188,5
2016-04-02,14:43:27,31.749681,34.9902,5
2016-04-02,14:43:29,31.749694,34.990243,5
2016-04-02,14:43:30,31.749696,34.990241,5
2016-04-02,14:43:32,31.74968,34.990262,5
2016-04-02,14:43:34,31.749678,34.990272,5
2016-04-02,14:43:36,31.749683,34.990275,5
2016-04-02,14:43:38,31.749675,34.990284,5
2016-04-02,14:43:39,31.749669,34.990298,5
2016-04-02,14:43:41,31.749661,34.99033,5
2016-04-02,14:43:42,31.749654,34.990341,5
2016-04-02,14:43:44,31.749649,34.99037,5
2016-04-02,14:43:46,31.749641,34.990399,5
2016-04-02,14:43:48,31.749644,34.990432,5
2016-04-02,14:43:50,31.749646,34.990462,5
2016-04-02,14:43:52,31.749643,34.990488,5
2016-04-02,14:43:54,31.749643,34.990504,5
2016-04-02,14:43:55,31.749646,34.99051,5
2016-04-02,14:43:57,31.749647,34.990521,5
2016-04-02,14:43:58,31.749645,34.990527,5
2016-04-02,14:44:00,31.749632,34.990542,5
2016-04-02,14:44:02,31.749612,34.990562,5
2016-04-02,14:44:04,31.749593,34.990599,5
2016-04-02,14:44:05,31.749587,34.990612,5
2016-04-02,14:44:07,31.74957,34.990637,5
2016-04-02,14:44:08,31.749562,34.990646,5
2016-04-02,14:44:10,31.749545,34.990662,5
2016-04-02,14:44:11,31.749538,34.990669,5
2016-04-02,14:44:13,31.749533,34.990687,5
2016-04-02,14:44:14,31.749542,34.99069,5
2016-04-02,14:44:16,31.749544,34.990715,5
2016-04-02,14:44:17,31.749536,34.990729,5
2016-04-02,14:44:18,31.749525,34.990744,5
2016-04-02,14:44:20,31.749496,34.990777,5
2016-04-02,14:44:22,31.749469,34.990808,5
2016-04-02,14:44:23,31.749458,34.990823,5
2016-04-02,14:44:25,31.749434,34.990853,5
2016-04-02,14:44:26,31.74942,34.990865,5
2016-04-02,14:44:27,31.749405,34.990874,5
2016-04-02,14:44:29,31.749378,34.990894,5
2016-04-02,14:44:30,31.749366,34.990905,5
2016-04-02,14:44:31,31.749356,34.99092,5
2016-04-02,14:44:33,31.749337,34.99095,5
2016-04-02,14:44:35,31.749315,34.990977,5
2016-04-02,14:44:36,31.749304,34.990991,5
2016-04-02,14:44:38,31.749291,34.991023,5
2016-04-02,14:44:39,31.749287,34.991045,5
2016-04-02,14:44:40,31.74928,34.991066,5
2016-04-02,14:44:42,31.749259,34.991101,5
2016-04-02,14:44:44,31.749233,34.991129,5
2016-04-02,14:44:46,31.749216,34.991161,5
2016-04-02,14:44:48,31.749206,34.991196,5
2016-04-02,14:44:50,31.749197,34.991231,5
2016-04-02,14:44:51,31.749188,34.991246,5
2016-04-02,14:44:53,31.749172,34.991276,5
2016-04-02,14:44:54,31.749164,34.991291,5
2016-04-02,14:44:55,31.749153,34.991304,5
2016-04-02,14:44:57,31.749135,34.991323,5
2016-04-02,14:44:58,31.749126,34.99133,5
2016-04-02,14:44:59,31.74912,34.991336,5
2016-04-02,14:45:01,31.74912,34.991356,5
2016-04-02,14:45:02,31.749121,34.991368,5
2016-04-02,14:45:04,31.749125,34.991398,5
2016-04-02,14:45:06,31.749124,34.991426,5
2016-04-02,14:45:08,31.749121,34.991451,5
2016-04-02,14:45:09,31.749121,34.991466,5
2016-04-02,14:45:11,31.749122,34.991499,5
2016-04-02,14:45:12,31.74913,34.991519,5
2016-04-02,14:45:13,31.749131,34.991536,5
2016-04-02,14:45:14,31.749129,34.991551,5
2016-04-02,14:45:16,31.749122,34.991586,5
2016-04-02,14:45:18,31.749122,34.991613,5
2016-04-02,14:45:20,31.749128,34.991635,5
2016-04-02,14:45:22,31.749144,34.991643,5
2016-04-02,14:45:23,31.749152,34.991641,5
2016-04-02,14:45:25,31.749167,34.991643,5
